Ref,Val,Package,PosX (mm),PosY (mm),Rot,Side
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,191.25,-90,90,top
D3,MBR0530T1G,D_SOD-123,182.9192,-99.1525,0,top
D4,MBR0530T1G,D_SOD-123,200.0875,-102.4,90,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,193.25,-90,90,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195.25,-90,90,top
D7,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,197.25,-90,90,top
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,200.3,-85.2,-90,top
L1,10uH,L_0805_2012Metric,187.9192,-95.6525,180,top
L2,22uH,L_0805_2012Metric,206.1625,-98.8,180,top
L3,22uH,L_0805_2012Metric,198.6,-98.8,180,top
R1,147k,R_0805_2012Metric,183.9192,-104.7,-90,top
R2,0,R_0805_2012Metric,191.4192,-100.6525,-90,top
R3,1.91k,R_0805_2012Metric,185.9192,-104.7,90,top
R4,13.3k,R_0805_2012Metric,190,-104.7,-90,top
R5,0,R_0805_2012Metric,206.5875,-104.8,180,top
R6,40.2k,R_0805_2012Metric,196.5875,-106.3,0,top
R7,3.6k,R_0805_2012Metric,200.5875,-106.3,0,top
R8,4.7k,R_0805_2012Metric,136.325,-95.385,0,top
R9,4.7k,R_0805_2012Metric,121.325,-98.94,180,top
R10,4.7k,R_0805_2012Metric,136.325,-93.385,0,top
R11,4.7k,R_0805_2012Metric,136.325,-91.385,0,top
R12,4.7k,R_0805_2012Metric,121.325,-96.94,180,top
R13,4.7k,R_0805_2012Metric,121.325,-94.94,180,top
R14,100,R_0805_2012Metric,136.325,-89.385,180,top
R15,100,R_0805_2012Metric,121.325,-92.94,180,top
R16,100,R_0805_2012Metric,136.325,-87.385,180,top
R17,100,R_0805_2012Metric,121.325,-90.94,180,top
R18,100,R_0805_2012Metric,136.325,-85.385,180,top
R19,100,R_0805_2012Metric,121.325,-88.94,180,top
R20,100,R_0805_2012Metric,136.325,-83.385,180,top
R21,100,R_0805_2012Metric,121.325,-86.94,180,top
R22,4.7k,R_0805_2012Metric,117.825,-97.19,-90,top
R23,4.7k,R_0805_2012Metric,117.825,-91.69,-90,top
R24,4.7k,R_0805_2012Metric,117.825,-84.19,90,top
R25,4.7k,R_0805_2012Metric,121.325,-84.94,0,top
R26,100,R_0805_2012Metric,137.835,-111.0056,90,top
R27,100,R_0805_2012Metric,135.835,-111.0056,90,top
R28,100,R_0805_2012Metric,133.835,-111.0056,90,top
R29,4.7k,R_0805_2012Metric,136.615,-130.0056,-90,top
R30,4.7k,R_0805_2012Metric,134.615,-130.0056,-90,top
R31,100,R_0805_2012Metric,131.835,-111.0056,90,top
R32,4.7k,R_0805_2012Metric,132.615,-130.0056,-90,top
R33,4.7k,R_0805_2012Metric,130.615,-130.0056,-90,top
R34,100,R_0805_2012Metric,129.835,-111.0056,90,top
R35,100,R_0805_2012Metric,127.885,-111.0056,90,top
R36,4.7k,R_0805_2012Metric,128.615,-130.0056,-90,top
